127.0.0.1;"2019-07-28 09:29:46";"Обмен пакетами с 127.0.0.1 по с 32 байтами данных:Ответ от 127.0.0.1: число байт=32 время<1мс TTL=128Ответ от 127.0.0.1: число байт=32 время<1мс TTL=128Ответ от 127.0.0.1: число байт=32 время<1мс TTL=128Статистика Ping для 127.0.0.1:    Пакетов: отправлено = 3, получено = 3, потеряно = 0    (0% потерь)Приблизительное время приема-передачи в мс:    Минимальное = 0мсек, Максимальное = 0 мсек, Среднее = 0 мсек"
8.8.8.8;"2019-07-28 09:29:51";"Обмен пакетами с 8.8.8.8 по с 32 байтами данных:Ответ от 8.8.8.8: число байт=32 время=22мс TTL=43Ответ от 8.8.8.8: число байт=32 время=22мс TTL=43Ответ от 8.8.8.8: число байт=32 время=22мс TTL=43Статистика Ping для 8.8.8.8:    Пакетов: отправлено = 3, получено = 3, потеряно = 0    (0% потерь)Приблизительное время приема-передачи в мс:    Минимальное = 22мсек, Максимальное = 22 мсек, Среднее = 22 мсек"
